"","pA-0%","pA-25%","pA-50%","pA-75%","pA-100%","pB-0%","pB-25%","pB-50%","pB-75%","pB-100%","pN-0%","pN-25%","pN-50%","pN-75%","pN-100%","CurrentLabel","NextLabel"
"4338",0.444444444444444,0.520833333333333,0.597222222222222,0.673611111111111,0.75,0,0.0555555555555556,0.111111111111111,0.166666666666667,0.222222222222222,0.25,0.270833333333333,0.291666666666667,0.3125,0.333333333333333,2,0
"4339",0.444444444444444,0.523809523809524,0.605633802816901,0.636363636363636,0.785714285714286,0.142857142857143,0.19047619047619,0.222222222222222,0.272727272727273,0.323943661971831,0.0704225352112676,0.0714285714285714,0.0909090909090909,0.285714285714286,0.333333333333333,0,1
"4340",0.444444444444444,0.523809523809524,0.605633802816901,0.636363636363636,0.785714285714286,0.142857142857143,0.19047619047619,0.222222222222222,0.272727272727273,0.323943661971831,0.0704225352112676,0.0714285714285714,0.0909090909090909,0.285714285714286,0.333333333333333,1,2
"4341",0.444444444444444,0.534246575342466,0.565217391304348,0.625,0.724137931034483,0.125,0.275862068965517,0.333333333333333,0.356164383561644,0.391304347826087,0,0.0434782608695652,0.10958904109589,0.222222222222222,0.25,0,2
"4342",0.444444444444444,0.565972222222222,0.62457254518808,0.691105769230769,0.9,0.1,0.171435318683504,0.277173913043478,0.347222222222222,0.5,0,0.0677083333333333,0.0877260484801847,0.103252923976608,0.192307692307692,2,0
"4343",0.444444444444444,0.618181818181818,0.65625,0.899038461538462,1,0,0,0.0512820512820513,0.267361111111111,0.363636363636364,0,0.0128205128205128,0.03125,0.229166666666667,0.4,0,0
"4344",0.444444444444444,0.618181818181818,0.65625,0.899038461538462,1,0,0,0.0512820512820513,0.267361111111111,0.363636363636364,0,0.0128205128205128,0.03125,0.229166666666667,0.4,2,2
"4345",0.444444444444444,0.61875,0.727272727272727,0.913961038961039,1,0,0,0.111111111111111,0.273510971786834,0.45,0,0,0.0467391304347826,0.112745098039216,0.444444444444444,0,0
"4346",0.444444444444444,0.722222222222222,1,1,1,0,0,0,0.166666666666667,0.333333333333333,0,0,0,0.111111111111111,0.222222222222222,0,0
"4347",0.446428571428571,0.50297619047619,0.631666666666667,0.705714285714286,0.909090909090909,0.0303030303030303,0.177142857142857,0.3275,0.450892857142857,0.491071428571429,0.04,0.0431547619047619,0.0541125541125541,0.0620265151515152,0.142857142857143,2,2
"4348",0.446428571428571,0.555975274725275,0.665521978021978,0.775068681318681,0.884615384615385,0.0576923076923077,0.166037087912088,0.274381868131868,0.382726648351648,0.491071428571429,0.0576923076923077,0.0588942307692308,0.0600961538461538,0.0612980769230769,0.0625,2,0
"4349",0.447058823529412,0.516632860040568,0.586206896551724,0.626436781609195,0.666666666666667,0.155172413793103,0.193326947637292,0.231481481481481,0.321623093681917,0.411764705882353,0.101851851851852,0.121514161220044,0.141176470588235,0.199898580121704,0.258620689655172,0,2
"4350",0.448717948717949,0.500221043324492,0.551724137931034,0.557112068965517,0.5625,0.1875,0.266163793103448,0.344827586206897,0.358311229000884,0.371794871794872,0.103448275862069,0.141467727674624,0.179487179487179,0.21474358974359,0.25,2,0
"4351",0.448979591836735,0.517290249433107,0.585600907029478,0.65391156462585,0.722222222222222,0.166666666666667,0.247448979591837,0.328231292517007,0.409013605442177,0.489795918367347,0.0612244897959184,0.0736961451247165,0.0861678004535147,0.0986394557823129,0.111111111111111,1,0
"4352",0.449275362318841,0.47758152173913,0.50588768115942,0.53419384057971,0.5625,0.25,0.281702898550725,0.313405797101449,0.345108695652174,0.376811594202899,0.173913043478261,0.177309782608696,0.18070652173913,0.184103260869565,0.1875,2,1
"4353",0.449275362318841,0.540890269151139,0.626422250316056,0.689633375474083,0.714285714285714,0.194690265486726,0.209386852085967,0.25,0.308488612836439,0.376811594202899,0,0.0929203539823009,0.148903424393998,0.184006211180124,0.214285714285714,2,0
"4354",0.449438202247191,0.489424983476537,0.529411764705882,0.561283829121002,0.593155893536122,0.281368821292776,0.346566763587564,0.411764705882353,0.430601454064772,0.449438202247191,0.0588235294117647,0.0799735624586913,0.101123595505618,0.11329944033836,0.125475285171103,2,2
"4355",0.45,0.454166666666667,0.458333333333333,0.4625,0.466666666666667,0.466666666666667,0.466666666666667,0.466666666666667,0.466666666666667,0.466666666666667,0.0666666666666667,0.0708333333333333,0.075,0.0791666666666667,0.0833333333333333,1,2
"4356",0.45,0.4625,0.475,0.4875,0.5,0.308333333333333,0.320535714285714,0.332738095238095,0.344940476190476,0.357142857142857,0.142857142857143,0.167559523809524,0.192261904761905,0.216964285714286,0.241666666666667,2,0
"4357",0.45,0.5,0.513636363636364,0.546291866028708,0.666666666666667,0.231481481481481,0.253661616161616,0.306944444444444,0.373135964912281,0.5,0,0.0649366471734893,0.148148148148148,0.225883838383838,0.241666666666667,2,1
"4358",0.45,0.579474342928661,0.623809523809524,0.743951612903226,1,0,0.170238095238095,0.28416149068323,0.380475594493116,0.533333333333333,0,0,0.0462765957446808,0.0890269151138716,0.2,0,0
"4359",0.450980392156863,0.566666666666667,0.714285714285714,0.823308270676692,1,0,0.142857142857143,0.257142857142857,0.350925925925926,0.5,0,0,0,0.046078431372549,0.12962962962963,0,1
"4360",0.451612903225806,0.525,0.5625,0.583333333333333,0.761904761904762,0.161904761904762,0.2625,0.333333333333333,0.416666666666667,0.548387096774194,0,0.010989010989011,0.0761904761904762,0.137931034482759,0.2125,1,2
"4361",0.451612903225806,0.525,0.5625,0.583333333333333,0.761904761904762,0.161904761904762,0.2625,0.333333333333333,0.416666666666667,0.548387096774194,0,0.010989010989011,0.0761904761904762,0.137931034482759,0.2125,2,1
"4362",0.452380952380952,0.503343166175025,0.583333333333333,0.688405797101449,0.833333333333333,0.166666666666667,0.229578392621871,0.333333333333333,0.423376623376623,0.5,0,0.0277777777777778,0.0545454545454545,0.101190476190476,0.136363636363636,0,0
"4363",0.454545454545455,0.463121783876501,0.471698113207547,0.513626834381551,0.555555555555556,0.222222222222222,0.27020202020202,0.318181818181818,0.376072041166381,0.433962264150943,0.0943396226415094,0.158280922431866,0.222222222222222,0.224747474747475,0.227272727272727,2,2
"4364",0.454545454545455,0.513680494263019,0.572815533980582,0.643550624133148,0.714285714285714,0.214285714285714,0.257628294036061,0.300970873786408,0.370182406590174,0.439393939393939,0.0714285714285714,0.0887445887445887,0.106060606060606,0.116137099146808,0.12621359223301,1,1
"4365",0.454545454545455,0.552272727272727,0.65,0.759782608695652,0.869565217391304,0.0869565217391304,0.155978260869565,0.225,0.248863636363636,0.272727272727273,0.0434782608695652,0.0842391304347826,0.125,0.198863636363636,0.272727272727273,2,2
"4366",0.454545454545455,0.595779220779221,0.821428571428571,1,1,0,0,0.0357142857142857,0.121753246753247,0.272727272727273,0,0,0.136363636363636,0.275974025974026,0.285714285714286,0,2
"4367",0.457142857142857,0.478571428571429,0.5,0.595238095238095,0.69047619047619,0.214285714285714,0.278571428571429,0.342857142857143,0.358928571428571,0.375,0.0952380952380952,0.110119047619048,0.125,0.1625,0.2,1,1
"4368",0.458333333333333,0.475432389937107,0.502701960065946,0.568203883495146,0.7,0.1,0.258490566037736,0.343160377358491,0.383191747572816,0.407766990291262,0.0679611650485437,0.141990291262136,0.183333333333333,0.20188679245283,0.207547169811321,2,0
"4369",0.458333333333333,0.528812056737589,0.626984126984127,0.758741258741259,0.88,0,0.0508333333333333,0.240384615384615,0.304761904761905,0.492307692307692,0,0.0577507598784195,0.0788888888888889,0.237878787878788,0.333333333333333,2,0
"4370",0.459016393442623,0.460928961748634,0.462841530054645,0.464754098360656,0.466666666666667,0.4,0.414754098360656,0.429508196721311,0.444262295081967,0.459016393442623,0.0819672131147541,0.0948087431693989,0.107650273224044,0.120491803278689,0.133333333333333,2,2
"4371",0.461538461538462,0.469158200290276,0.535849056603774,0.600943396226415,0.60377358490566,0.226415094339623,0.268142235123367,0.291025641025641,0.324056603773585,0.39622641509434,0.1,0.124056603773585,0.150943396226415,0.191461054668602,0.256410256410256,1,0
"4372",0.461538461538462,0.469158200290276,0.535849056603774,0.600943396226415,0.60377358490566,0.226415094339623,0.268142235123367,0.291025641025641,0.324056603773585,0.39622641509434,0.1,0.124056603773585,0.150943396226415,0.191461054668602,0.256410256410256,2,1
"4373",0.461538461538462,0.487912087912088,0.514285714285714,0.538392857142857,0.5625,0.270833333333333,0.276442307692308,0.282051282051282,0.383882783882784,0.485714285714286,0,0.0833333333333333,0.166666666666667,0.211538461538462,0.256410256410256,0,1
"4374",0.461538461538462,0.490384615384615,0.51271186440678,0.570538384845464,0.705882352941177,0.117647058823529,0.154411764705882,0.288461538461538,0.413624511082138,0.423728813559322,0.0508474576271186,0.108865710560626,0.152337858220211,0.215686274509804,0.333333333333333,2,0
"4375",0.461538461538462,0.5,0.6,0.639130434782609,0.666666666666667,0.2,0.239130434782609,0.25,0.277777777777778,0.384615384615385,0.0555555555555556,0.121739130434783,0.153846153846154,0.2,0.25,1,2
